"D08495" "D08497" "D08498" "D08499" "D08500" "D08501" "D08502" "D08503" "D08504" "D08512" "D08513" "D08518" "D08522" "D08523" "D08525" "D08526" "D08532" "D08533" "D08536"
"[Eubacterium] coprostanoligenes group" 4696 3323 3131 2145 3687 2684 2171 1926 1833 1322 793 2494 1981 1248 1492 599 2257 572 1782
"[Eubacterium] fissicatena group" 26 0 0 16 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0
"[Eubacterium] ruminantium group" 12 0 0 0 0 0 65 0 0 0 0 0 12 0 0 0 10 0 0
"[Eubacterium] ventriosum group" 9 0 0 17 16 110 139 13 15 0 7 0 0 0 0 2 0 108 33
"[Eubacterium] xylanophilum group" 18 0 0 0 0 0 5 0 0 0 0 0 0 14 0 0 21 25 0
"[Ruminococcus] torques group" 94 1227 893 90 152 664 353 589 511 100 31 29 30 59 19 7 191 0 74
"Acetitomaculum" 62 6 10 98 124 183 120 16 6 214 405 284 525 100 331 133 48 6 84
"Akkermansia" 2168 48 41 29 37 5820 9 177 154 4877 10744 8942 4897 9048 6133 1066 2719 374 2482
"ASF356" 30 244 166 68 122 44 123 57 53 0 0 0 0 0 0 0 0 0 0
"Bacteroides" 108 743 644 215 406 612 740 348 466 385 19 771 221 490 601 234 367 572 1158
"Blautia" 282 703 519 337 476 345 192 203 215 229 242 272 287 388 320 97 150 94 436
"Bosea" 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Candidatus Methanogranum" 14 0 0 8 0 0 0 33 43 0 0 0 9 0 0 0 112 0 0
"Candidatus Methanomethylophilus" 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Candidatus Soleaferrea" 65 88 98 57 82 45 0 0 11 60 66 118 107 96 51 16 105 0 66
"Christensenellaceae R-7 group" 2123 2938 2512 2400 3059 2183 1890 2137 2092 1610 1849 1939 2305 2175 2016 785 1364 1591 2159
"Coprococcus 3" 101 480 490 532 812 814 1355 1301 1172 799 38 710 618 122 907 505 164 251 78
"Dielma" 42 263 291 175 207 52 171 89 92 101 0 16 6 0 154 68 14 15 0
"DNF00809" 374 12 8 229 334 8 30 0 0 13 0 0 10 0 9 0 14 0 11
"Dorea" 25 165 149 22 31 220 179 127 144 71 0 109 87 76 90 56 142 33 224
"Enterorhabdus" 34 333 231 65 70 169 47 267 341 5 28 61 161 485 0 5 36 0 0
"Faecalibacterium" 7 188 220 157 245 137 600 180 153 391 0 28 18 0 374 203 12 840 21
"Family XIII AD3011 group" 309 425 518 296 397 664 978 1284 1299 412 130 429 333 126 426 198 434 371 242
"Family XIII UCG-001" 21 33 36 8 19 29 10 10 7 75 20 40 69 66 35 30 35 13 95
"Fusicatenibacter" 171 228 251 179 246 945 535 354 434 0 0 18 20 0 0 0 114 275 0
"Intestinimonas" 98 0 0 18 26 35 17 38 34 0 0 0 13 0 6 2 105 30 93
"Lachnoclostridium" 276 3675 2656 558 704 1115 1796 789 874 398 0 152 125 45 535 259 205 366 439
"Lachnoclostridium 10" 18 250 170 70 99 24 58 0 19 0 0 0 0 0 0 0 81 0 14
"Lachnospira" 41 62 62 101 143 13 12 173 195 0 0 0 0 56 9 2 0 0 0
"Lachnospiraceae NC2004 group" 646 97 108 24 28 128 75 28 35 179 202 191 340 229 275 151 713 559 299
"Lachnospiraceae ND3007 group" 58 101 89 81 74 158 409 362 397 12 0 0 28 17 32 14 7 153 81
"Lachnospiraceae NK4A136 group" 1188 566 523 340 417 1121 313 115 97 522 0 762 1134 134 1042 410 755 443 540
