"D14276" "D14277" "D14278" "D14279" "D14280" "D14281" "D14285" "D14286" "D14287" "D14288" "D14289" "D14290"
"Eubacterium_coprostanoligenes_group" 134 141 113 190 159 73 9 14 564 596 285 884
"Eubacterium_oxidoreducens_group" 9 0 0 0 0 0 0 0 31 30 0 28
"Eubacterium_xylanophilum_group" 29 0 0 0 0 0 15 0 32 0 0 0
"Ruminococcus_gauvreauii_group" 9 0 0 0 0 0 0 0 0 0 0 0
"Acetivibrio" 3 862 26 0 5 131 0 0 612 207 0 0
"Acidaminococcus" 13 0 0 0 0 0 4 0 25 32 0 70
"Agathobacter" 6 0 0 0 0 0 9 0 0 0 0 0
"Alistipes" 109 188 81 465 260 117 110 33 84 0 88 86
"Anaerocolumna" 58 0 0 0 0 0 16 77 26 0 24 40
"Anaerosporobacter" 142 80 0 67 26 72 23 15 93 58 42 75
"Anaerovorax" 13 20 28 23 11 41 11 13 90 77 0 16
"Bacillus" 67 0 160 5236 1883 1965 67 249 16 473 0 779
"Bacteroides" 41 17 44 265 10 0 0 167 0 0 0 0
"Blautia" 41 20 10 20 20 22 0 54 0 0 0 94
"Butyrivibrio" 10 0 0 0 0 0 0 0 0 0 0 347
"Campylobacter" 46 10 0 15 13 10 6 7 0 10 418 0
"Candidatus_Soleaferrea" 16 14 23 46 38 19 25 13 166 167 36 47
"Cellulosilyticum" 70 100 7 4 28 0 272 409 142 90 202 20
"Christensenellaceae_R-7_group" 234 269 401 349 556 347 401 131 586 723 2222 249
"Clostridium_sensu_stricto_1" 135 72 73 63 155 317 457 837 66 1105 550 600
"Clostridium_sensu_stricto_13" 19 21 0 0 12 0 0 0 0 0 0 0
"Clostridium_sensu_stricto_2" 7 0 0 0 0 0 0 0 0 0 0 0
"Erysipelotrichaceae_UCG-004" 12 0 0 0 0 0 0 0 79 7 0 0
"Faecalibacterium" 16 34 0 53 33 26 29 83 0 43 0 402
"Fibrobacter" 432 48 55 260 59 124 13 0 123 265 98 0
"Fonticella" 42 0 0 12 15 0 0 0 0 0 0 0
"Hydrogenoanaerobacterium" 26 25 0 27 0 0 24 23 49 51 0 9
"Lachnoclostridium" 61 92 0 9 5 0 0 0 36 47 0 118
"Lachnoclostridium_10" 50 114 73 40 97 102 214 538 614 69 341 1591
"Lachnoclostridium_5" 36 26 6 143 10 26 33 49 49 48 22 22
"Lachnospira" 58 124 6 50 20 18 9 0 6 0 0 164
"Lachnospiraceae_AC2044_group" 189 93 0 45 34 188 39 54 407 363 51 205
"Lachnospiraceae_NC2004_group" 28 4 0 8 0 12 0 0 127 219 0 0
"Lachnospiraceae_NK4A136_group" 19 54 0 42 49 0 62 105 375 54 59 93
"Lachnospiraceae_UCG-004" 112 301 137 129 22 84 31 0 887 179 32 0
"Lachnospiraceae_UCG-007" 391 150 38 32 71 0 324 618 40 123 407 140
"Lachnospiraceae_UCG-009" 111 119 24 59 6 0 15 13 38 120 17 42
"Methanocorpusculum" 291 398 108 150 178 198 9 27 26 84 102 0
"Oscillibacter" 16 15 0 142 33 20 19 29 0 17 40 154
"Papillibacter" 33 145 19 71 78 175 8 0 222 83 8 0
"Pseudomonas" 4 0 609 0 0 0 25 0 0 0 0 0
"Pyramidobacter" 3 0 0 0 7 5 0 30 27 56 0 0
"Roseburia" 11 0 0 0 0 0 0 0 0 0 0 160
"Ruminiclostridium" 21 14 26 39 14 36 0 0 58 81 39 0
"Ruminiclostridium_1" 3 0 0 0 0 0 0 0 13 36 0 0
"Ruminiclostridium_6" 63 23 0 31 0 8 0 0 63 17 0 14
"Ruminiclostridium_9" 2 0 0 0 0 0 0 0 0 7 0 0
"Ruminococcaceae_NK4A214_group" 221 519 139 267 211 159 102 23 714 549 180 437
"Ruminococcaceae_UCG-002" 35 24 8 28 0 0 9 13 0 20 0 6
"Ruminococcaceae_UCG-005" 24 8 0 0 0 0 64 0 65 26 0 32
"Ruminococcaceae_UCG-008" 5 0 0 0 20 5 14 0 0 0 0 72
"Ruminococcaceae_UCG-010" 311 270 64 193 155 191 151 112 1045 726 535 792
"Ruminococcaceae_UCG-013" 12 6 14 0 6 0 20 0 71 35 85 195
"Ruminococcaceae_UCG-014" 311 327 42 223 307 278 44 77 485 626 674 150
"Ruminococcus_1" 218 204 100 79 99 294 35 30 3446 992 74 194
"S5-A14a" 29 69 7 21 0 0 72 46 0 22 40 0
"Terrisporobacter" 21 24 0 19 26 13 77 185 26 60 73 19
"Treponema_2" 28 16 11 79 55 23 0 0 0 0 0 0
"DMER64" 0 9 0 10 14 12 0 0 634 354 49 0
"Acinetobacter" 0 0 5251 66 0 0 11 472 0 0 0 0
"Aeromonas" 0 0 30 0 0 0 0 0 0 0 0 0
"Anaerofustis" 0 0 9 0 0 0 0 0 65 0 0 0
"Caryophanon" 0 0 80 18 35 0 0 0 0 0 0 0
"Comamonas" 0 0 50 0 0 0 30 0 0 0 0 0
"Desulfovibrio" 0 0 60 61 18 55 209 131 0 22 185 0
"Lysinibacillus" 0 0 19 27 74 0 0 0 0 0 0 0
"Psychrobacillus" 0 0 15 0 10 0 0 0 0 0 0 0
"Rheinheimera" 0 0 56 0 0 0 0 0 0 0 0 0
"Ruminococcaceae_UCG-011" 0 0 8 0 10 0 0 0 0 0 0 0
"Shewanella" 0 0 78 0 0 0 0 0 0 0 0 0
"Solibacillus" 0 0 103 105 116 35 0 0 0 0 0 0
"Eubacterium_ventriosum_group" 0 0 0 15 0 0 0 0 0 0 0 58
"Anaerostipes" 0 0 0 19 7 0 0 0 0 0 0 112
"Cerasicoccus" 0 0 0 16 32 0 0 0 0 0 0 0
"Citrobacter" 0 0 0 86 6 0 0 222 0 0 0 0
"Clostridium_sensu_stricto_3" 0 0 0 33 0 0 0 0 124 418 0 24
"Enterobacter" 0 0 0 23 0 0 0 201 0 0 0 33
"Escherichia-Shigella" 0 0 0 187 234 0 7 140 0 0 88 0
"Hespellia" 0 0 0 27 8 0 9 0 0 0 0 16
"Methanosphaera" 0 0 0 5 0 0 0 0 0 0 0 0
"Oscillospira" 0 0 0 20 0 0 0 11 0 0 0 84
"Parabacteroides" 0 0 0 26 0 0 23 0 0 0 0 0
"Pygmaiobacter" 0 0 0 19 0 0 0 0 0 0 0 0
"Rikenella" 0 0 0 6 0 0 0 0 0 0 0 0
"Ruminococcaceae_UCG-009" 0 0 0 9 11 7 0 0 0 0 0 0
"Pirellula" 0 0 0 0 11 0 0 0 0 0 0 0
"Family_XIII_UCG-001" 0 0 0 0 0 7 0 0 15 13 8 51
"Lachnospiraceae_UCG-010" 0 0 0 0 0 5 0 0 0 0 0 0
"Mobilitalea" 0 0 0 0 0 27 0 0 0 64 0 0
"Subdoligranulum" 0 0 0 0 0 11 24 30 0 0 8 31
"28-4" 0 0 0 0 0 0 8 0 0 0 0 47
"Acidibacter" 0 0 0 0 0 0 2 0 0 0 0 0
"Actinomycetospora" 0 0 0 0 0 0 10 0 0 0 0 0
"Aeromicrobium" 0 0 0 0 0 0 20 0 0 0 0 0
"Agromyces" 0 0 0 0 0 0 14 68 0 0 0 0
"Akkermansia" 0 0 0 0 0 0 57 0 10 0 0 0
"Alkanindiges" 0 0 0 0 0 0 5 0 0 0 0 0
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0 0 0 0 0 0 8 0 0 0 0 0
"Altererythrobacter" 0 0 0 0 0 0 32 63 0 0 0 0
"Amaricoccus" 0 0 0 0 0 0 10 81 0 0 0 0
"Anseongella" 0 0 0 0 0 0 4 0 0 0 0 0
"Antricoccus" 0 0 0 0 0 0 47 0 0 0 0 0
"Arenimonas" 0 0 0 0 0 0 2 0 0 0 0 0
"Arthrobacter" 0 0 0 0 0 0 17 59 0 0 0 0
"Austwickia" 0 0 0 0 0 0 8 0 0 0 0 0
"Bergeyella" 0 0 0 0 0 0 15 0 0 0 0 0
"Bilophila" 0 0 0 0 0 0 5 0 0 0 0 0
"Brachybacterium" 0 0 0 0 0 0 64 80 0 0 0 0
"Brevibacterium" 0 0 0 0 0 0 12 23 0 0 0 0
"Brevundimonas" 0 0 0 0 0 0 9 16 0 0 0 0
"Calidifontibacter" 0 0 0 0 0 0 12 0 0 0 0 0
"Cellulomonas" 0 0 0 0 0 0 26 0 0 0 0 0
"Chelatococcus" 0 0 0 0 0 0 3 0 0 0 0 0
"Chryseobacterium" 0 0 0 0 0 0 243 1057 0 0 276 0
"Citricoccus" 0 0 0 0 0 0 10 46 0 0 0 0
"CL500-29_marine_group" 0 0 0 0 0 0 14 0 0 0 0 0
"Coprococcus_2" 0 0 0 0 0 0 3 0 0 0 7 22
"Corynebacterium" 0 0 0 0 0 0 31 40 0 0 35 0
"Deinococcus" 0 0 0 0 0 0 36 16 0 0 0 0
"Demequina" 0 0 0 0 0 0 6 8 0 0 0 0
"Dermacoccus" 0 0 0 0 0 0 7 0 0 0 0 0
"Dermatophilus" 0 0 0 0 0 0 180 32 0 0 216 0
"Desulfobulbus" 0 0 0 0 0 0 2 0 0 0 0 0
"Dietzia" 0 0 0 0 0 0 48 40 0 0 59 0
"Enterobacillus" 0 0 0 0 0 0 12 0 0 0 0 0
"Erysipelatoclostridium" 0 0 0 0 0 0 3 0 0 8 0 0
"Erysipelothrix" 0 0 0 0 0 0 32 32 0 0 84 0
"Erythrobacter" 0 0 0 0 0 0 23 0 0 0 0 0
