"D05808" "D05809" "D05810" "D05812" "D05813" "D05814" "D05815" "D05816" "D05817" "D05818" "D05819" "D05820" "D05830" "D05831" "D05832" "D05834" "D05835" "D05836" "D05838" "D05839" "D05844" "D05845" "D05846"
"Aeromonas" 1247 17760 2886 11373 14499 14959 363 256 3240 687 4531 10292 0 14 0 6 32 0 3877 4033 108 425 5836
"Cetobacterium" 49010 9152 3275 20565 37839 46802 8133 946 5998 53 24766 10885 7 26 0 0 0 0 0 0 0 0 33
"Plesiomonas" 115 0 38 864 1380 1309 100 22 0 18 3018 740 0 9 7 0 0 5 0 0 0 0 65
"Leptolyngbya_ANT.L52.2" 0 73 0 251 239 0 0 0 0 0 0 680 0 0 0 0 0 0 0 0 0 0 0
"Shewanella" 0 210 28 590 189 0 7 0 12 38 0 890 0 0 17 0 8 0 120 293 31 0 26
"Clostridium_sensu_stricto_1" 0 0 81 0 873 0 0 11 43 0 0 0 0 14 0 0 16 0 0 0 0 0 0
"Paraclostridium" 0 0 177 2130 107 4275 13 19 0 0 2806 0 0 0 0 0 0 0 0 0 0 0 0
"Romboutsia" 0 0 161 0 2022 0 0 175 0 0 27 0 0 0 0 0 8 0 0 0 0 0 0
"Sarcina" 0 0 29 0 0 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0 0
"Turicibacter" 0 0 5 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0
"Vibrio" 0 0 127 118 134 117 0 0 42 0 0 0 30 206 18 0 76 0 10816 28 54 79 0
"Arthrospira_PCC-7345" 0 0 0 148 0 0 0 0 0 0 0 513 0 0 0 0 39 0 0 0 0 0 0
"Cyanobium_PCC-6307" 0 0 0 721 299 0 23 0 0 0 0 1705 52 375 80 14 67 22 37 12 0 0 208
"Pseudomonas" 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0
"Rubribacterium" 0 0 0 251 38 0 38 0 0 0 0 1290 12 523 11 0 243 0 0 0 0 0 39
"Aerococcus" 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anoxybacillus" 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C39" 0 0 0 0 0 0 16 0 0 140 0 0 0 11 255 48 45 0 0 0 0 0 0
"Desulfomicrobium" 0 0 0 0 0 0 10 0 0 0 0 382 0 0 0 0 4 0 0 0 0 0 0
"Desulfopila" 0 0 0 0 0 0 32 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0
"Desulforhopalus" 0 0 0 0 0 0 7 0 0 0 0 0 6 95 0 0 118 0 0 0 0 0 0
"Dinghuibacter" 0 0 0 0 0 0 4 0 0 0 0 0 0 111 0 0 12 0 0 0 0 0 0
"Geobacillus" 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamprocystis" 0 0 0 0 0 0 6 0 0 0 0 367 0 40 0 0 72 0 0 0 0 0 0
"Luteolibacter" 0 0 0 0 0 0 13 0 0 0 0 2773 0 72 0 0 12 0 0 0 0 0 115
"Ornithinimicrobium" 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Paenibacillus" 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Phreatobacter" 0 0 0 0 0 0 4 0 0 10 0 0 0 0 0 0 0 7 0 0 0 0 0
"Planococcus" 0 0 0 0 0 0 34 0 0 0 0 0 6 0 0 0 27 0 0 0 0 0 0
"Sphingomonas" 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tabrizicola" 0 0 0 0 0 0 4 0 0 19 0 173 8 141 0 0 113 0 0 0 0 0 34
"Terrimicrobium" 0 0 0 0 0 0 9 0 0 0 0 1297 0 36 8 0 12 15 41 0 0 0 0
"Thiocapsa" 0 0 0 0 0 0 6 0 0 0 0 317 34 185 0 0 0 0 0 0 0 0 0
"Thiocystis" 0 0 0 0 0 0 12 0 0 0 0 151 0 0 0 0 0 0 0 0 0 0 0
"Tropicimonas" 0 0 0 0 0 0 14 0 0 0 0 181 8 236 0 0 78 0 0 0 0 0 0
"Desulfobulbus" 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
