"D08180" "D08181" "D08182" "D08183" "D08184" "D08185" "D08186" "D08187" "D08188" "D08189" "D08190" "D08191" "D08192" "D08193" "D08194" "D08195" "D08196" "D08197" "D08198"
"[Acetivibrio] ethanolgignens group" 13 0 0 0 0 0 0 0 0 0 0 0 23 0 29 0 0 0 0
"[Anaerorhabdus] furcosa group" 23 10 0 29 0 15 16 0 13 0 17 25 54 24 84 69 0 14 25
"[Eubacterium] coprostanoligenes group" 1860 1935 1084 1772 1858 948 1944 2492 2244 1912 2472 2592 2265 1594 3863 3093 3460 761 2437
"[Eubacterium] nodatum group" 25 0 0 37 0 0 30 0 25 0 23 31 46 78 97 88 55 58 52
"[Eubacterium] oxidoreducens group" 84 69 36 50 70 59 108 58 66 102 82 79 102 114 169 393 176 220 310
"[Eubacterium] ruminantium group" 62 42 0 46 0 28 32 34 31 40 69 55 115 23 54 131 201 32 29
"[Eubacterium] ventriosum group" 86 72 47 88 77 42 54 66 65 75 64 74 248 117 149 156 1502 52 73
"[Ruminococcus] torques group" 17 33 14 42 86 11 37 0 0 29 16 26 29 110 97 155 121 36 19
"Acetitomaculum" 11 10 0 13 0 0 0 0 0 0 0 0 0 11 17 13 161 0 0
"Agathobacter" 198 127 105 263 116 134 128 211 175 271 154 172 452 670 721 932 2719 386 749
"Akkermansia" 3062 427 217 90 576 127 3629 218 1333 974 1352 443 332 58 116 102 0 0 41
"Alistipes" 1826 2128 1134 1432 1702 947 2543 1416 1941 1944 1411 1749 1425 347 1151 426 529 296 1120
"Alloprevotella" 79 840 117 1138 104 48 1496 77 100 152 181 931 32 42 45 87 47 36 37
"Anaerosporobacter" 84 0 0 116 55 31 25 104 150 119 85 180 0 0 0 34 0 0 19
"Anaerovibrio" 26 11 13 94 24 0 21 53 41 23 62 63 13 16 24 26 28 0 16
"Anaerovorax" 39 40 21 34 59 23 41 20 49 27 42 49 20 12 25 29 44 0 23
"Bacteroides" 3822 1556 1574 1559 6017 1744 3002 2852 3433 2959 2066 2483 1106 2413 1501 3476 2408 632 659
"Blautia" 18 15 0 0 27 0 18 46 14 29 33 13 61 0 105 157 189 150 54
"Butyrivibrio" 47 66 16 0 0 17 0 0 61 70 0 13 29 0 44 35 0 0 21
"Candidatus Soleaferrea" 118 155 61 101 158 51 166 261 179 118 225 211 105 103 195 179 124 50 196
"Cerasicoccus" 10 0 0 0 0 0 0 0 0 9 0 0 8 0 0 19 0 0 11
"Christensenellaceae R-7 group" 2179 1704 990 1930 1793 831 1795 2428 1711 1550 2224 1617 4849 3536 4134 3539 3323 4871 2650
"Clostridium sensu stricto 1" 59 48 37 215 40 45 31 51 47 47 259 1023 0 0 35 31 31 14 0
"Coprococcus 2" 112 58 50 79 49 59 61 74 91 87 36 87 80 57 96 847 99 87 86
"Coprococcus 3" 85 31 22 16 41 70 39 88 51 104 0 94 83 122 191 105 18 53 51
"Defluviitaleaceae UCG-011" 81 54 25 41 39 45 22 34 42 45 50 72 76 46 115 60 73 37 73
"dgA-11 gut group" 513 566 204 354 615 211 531 605 470 524 454 418 84 0 151 127 0 71 143
"Dorea" 66 52 40 37 62 33 47 56 39 57 49 68 131 106 246 224 71 155 104
"Elusimicrobium" 58 44 0 61 0 0 0 0 136 26 26 0 0 0 0 0 0 0 0
"Family XIII AD3011 group" 86 92 63 121 120 54 114 93 125 90 144 140 133 146 226 161 103 72 109
"GCA-900066225" 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hydrogenoanaerobacterium" 97 68 0 59 37 0 81 62 68 57 60 37 34 28 58 53 0 20 31
"Intestinimonas" 17 26 33 21 38 11 45 56 27 32 34 21 216 76 333 293 109 249 165
"Lachnoclostridium" 72 53 0 16 24 20 46 73 142 49 53 104 21 0 26 284 17 56 27
"Lachnoclostridium 10" 336 145 130 216 143 160 150 183 225 202 231 205 458 450 338 1600 297 217 401
"Lachnospiraceae AC2044 group" 454 200 127 284 353 185 197 299 392 415 487 239 218 571 223 282 266 245 430
"Lachnospiraceae FCS020 group" 169 235 68 284 76 45 169 123 186 175 307 178 130 147 273 437 553 235 340
"Lachnospiraceae NC2004 group" 19 56 7 59 14 13 9 25 66 33 9 40 268 251 64 66 35 62 0
"Lachnospiraceae NK4A136 group" 751 387 429 619 416 375 217 495 517 517 616 953 1119 668 973 2238 820 559 457
"Lachnospiraceae NK4B4 group" 30 0 0 0 0 19 0 0 0 0 21 0 0 0 0 0 0 0 0
"Lachnospiraceae UCG-004" 20 0 0 0 29 0 24 0 0 0 19 0 0 0 0 0 0 0 0
"Lachnospiraceae UCG-008" 41 46 0 0 0 98 0 63 31 41 34 0 86 206 227 111 194 101 242
"Lachnospiraceae UCG-010" 88 62 35 76 102 46 102 71 133 104 100 153 32 42 63 53 83 15 23
"Mailhella" 212 172 125 159 204 129 221 88 148 112 162 56 54 107 56 49 21 22 99
"Negativibacillus" 38 18 0 16 27 0 31 29 23 37 0 55 0 44 47 33 94 0 24
"Oscillibacter" 135 105 23 105 99 63 137 85 113 109 144 138 49 51 90 117 58 15 28
"Oscillospira" 26 22 0 0 16 7 23 20 23 15 16 13 53 49 48 0 0 24 88
"p-1088-a5 gut group" 102 26 12 0 24 14 26 0 0 17 40 16 0 0 16 39 66 0 0
"Paeniclostridium" 63 110 51 151 42 52 72 76 83 59 486 168 24 38 57 46 47 43 35
"Papillibacter" 44 28 24 35 38 13 39 36 50 51 55 49 34 38 86 73 144 26 39
"Parasutterella" 53 141 49 89 72 41 82 37 64 89 54 79 0 0 0 0 0 0 8
"Phascolarctobacterium" 2348 228 240 253 190 234 1683 170 592 495 410 372 66 41 292 224 132 44 77
"Prevotella 1" 273 137 136 83 276 520 221 210 170 369 221 242 0 716 150 37 10 2501 120
"Prevotellaceae Ga6A1 group" 39 0 0 0 40 0 68 42 27 17 20 38 0 0 0 0 0 0 0
"Prevotellaceae UCG-001" 335 119 279 48 367 263 207 149 236 514 464 220 0 14 13 36 13 18 0
"Prevotellaceae UCG-003" 790 935 1264 456 1335 741 1935 673 784 2085 1635 1070 65 101 144 191 89 122 58
"Prevotellaceae UCG-004" 1281 874 985 886 1434 882 1392 757 1240 1561 1452 908 1231 2179 2824 1971 581 4454 1439
"Pygmaiobacter" 14 16 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0
"Quinella" 31 0 0 0 0 0 16 13 0 8 34 12 0 0 0 0 0 0 0
"Rikenellaceae RC9 gut group" 5598 7023 4182 3279 5619 3460 5758 5347 4458 3923 5008 5255 1879 2321 3806 1345 1697 4170 2114
"Romboutsia" 72 93 46 232 60 36 77 84 74 66 558 148 122 62 387 50 52 0 42
"Roseburia" 502 375 301 792 311 280 299 411 448 483 359 389 1466 1644 1568 2688 1827 1412 2509
"Ruminiclostridium" 70 86 35 39 0 0 84 55 63 59 76 72 149 157 108 76 164 161 98
"Ruminiclostridium 1" 38 29 0 27 0 11 30 44 26 45 44 54 220 46 27 23 51 0 41
"Ruminiclostridium 6" 205 65 31 104 90 78 80 119 130 117 129 135 166 109 129 390 141 73 128
"Ruminiclostridium 9" 95 81 0 46 80 38 76 69 95 66 47 182 70 176 179 170 209 61 89
"Ruminobacter" 1208 184 371 365 284 256 165 355 362 912 176 307 35 55 71 80 77 45 68
"Ruminococcaceae NK4A214 group" 485 498 250 476 372 174 449 431 436 432 578 413 661 366 772 978 658 430 449
"Ruminococcaceae UCG-002" 499 803 258 405 525 219 801 497 448 381 620 409 138 451 498 451 257 267 207
"Ruminococcaceae UCG-004" 50 34 21 28 69 12 31 38 35 31 55 55 43 30 76 61 33 41 17
"Ruminococcaceae UCG-005" 8375 9595 4565 5687 8535 4854 8501 9415 6639 7878 7289 6165 11998 16947 20164 18374 16652 15830 17629
"Ruminococcaceae UCG-009" 546 418 242 399 307 224 464 476 385 511 474 572 335 396 631 432 467 276 334
"Ruminococcaceae UCG-010" 8417 8403 5706 8148 5413 3660 7769 8968 7214 6050 5537 6166 4713 2612 5423 3887 4683 2142 4963
"Ruminococcaceae UCG-011" 754 182 98 192 120 136 369 152 312 191 176 145 261 150 220 362 138 125 126
"Ruminococcaceae UCG-013" 1609 997 415 1193 1430 572 1487 1342 1694 1586 1937 1935 1064 1559 2280 2509 2290 952 1684
"Ruminococcaceae UCG-014" 608 404 168 425 223 140 405 549 481 316 630 435 1177 509 998 434 1712 373 738
"Ruminococcus 1" 782 565 356 606 370 499 454 634 828 664 577 680 1738 1619 663 2216 1038 1173 982
"Ruminococcus 2" 155 216 93 143 131 86 99 165 112 132 116 96 34 74 161 205 319 35 108
