"D05494" "D05500" "D05501" "D05502" "D05503" "D05504" "D05506" "D05507" "D05508" "D05509" "D05510" "D05511"
"[Anaerorhabdus] furcosa group" 27 44 0 111 36 10 31 49 0 0 0 0
"[Eubacterium] coprostanoligenes group" 1069 839 1262 1371 967 628 641 726 829 709 1331 891
"[Eubacterium] nodatum group" 47 0 0 91 75 0 0 0 0 0 0 0
"Akkermansia" 77 0 59 0 29 0 28 0 0 0 38 0
"Alistipes" 1126 679 561 1174 539 449 411 450 378 376 536 557
"Alloprevotella" 111 238 0 83 67 55 88 0 0 0 0 0
"Bacteroides" 1579 1834 721 2532 785 639 1196 998 814 1151 1004 1545
"Candidatus Soleaferrea" 120 0 134 132 71 54 37 53 40 0 101 70
"Catenibacterium" 383 56 0 67 35 143 32 37 44 0 0 78
"Christensenellaceae R-7 group" 1341 1102 2608 2996 1706 1262 671 517 614 712 877 597
"Clostridium sensu stricto 1" 64 70 0 0 0 0 0 0 63 0 0 0
"Desulfovibrio" 38 0 0 0 7 18 0 0 0 0 0 0
"dgA-11 gut group" 572 448 629 759 295 355 259 441 388 167 462 267
"Family XIII AD3011 group" 135 122 194 493 220 145 81 54 38 82 90 67
"Helicobacter" 37 0 0 0 0 0 0 0 0 0 0 26
"Lactobacillus" 46 26 26 39 0 35 16 21 19 14 21 0
"Oscillibacter" 92 82 0 343 85 47 58 49 57 49 70 0
"Oscillospira" 88 79 132 116 30 36 0 28 0 43 80 0
"Paeniclostridium" 122 72 164 184 75 114 0 0 0 0 0 0
"Phascolarctobacterium" 86 77 78 134 86 41 0 39 53 0 0 40
"Prevotellaceae Ga6A1 group" 65 0 0 0 0 104 0 60 20 0 0 0
"Prevotellaceae UCG-003" 639 495 147 633 234 205 108 247 169 245 249 352
"Prevotellaceae UCG-004" 678 787 335 717 878 250 289 332 756 516 314 502
"Rikenellaceae RC9 gut group" 3520 2559 2155 5223 1671 1236 1890 1546 2813 1644 1838 1930
"Romboutsia" 98 107 99 304 127 132 0 0 34 0 23 0
"Ruminiclostridium" 458 551 297 636 275 232 0 0 0 0 0 0
"Ruminococcaceae NK4A214 group" 643 626 675 1095 432 416 489 285 447 194 579 217
"Ruminococcaceae UCG-002" 687 456 631 1023 204 296 206 223 110 235 281 174
"Ruminococcaceae UCG-004" 48 83 136 142 132 66 61 22 0 70 111 86
"Ruminococcaceae UCG-005" 8539 9944 8715 14445 5033 4118 4400 4865 4157 4832 7212 6151
"Ruminococcaceae UCG-009" 610 499 893 523 517 509 171 48 129 159 322 281
"Ruminococcaceae UCG-010" 649 543 838 960 426 363 202 591 489 546 874 168
"Ruminococcaceae UCG-013" 497 772 581 271 853 228 278 391 364 644 1232 575
"Saccharofermentans" 27 0 45 0 0 32 0 0 0 0 0 0
"Treponema 2" 36 0 95 0 14 20 0 30 0 0 0 0
"Tyzzerella 4" 176 0 0 156 168 0 0 57 183 176 142 0
"Bacillus" 0 152 0 61 196 25 111 0 178 0 0 0
"Family XIII UCG-001" 0 18 0 43 12 0 0 0 0 0 0 0
"Lachnospiraceae FCS020 group" 0 130 0 0 43 0 0 0 0 0 0 0
"Mailhella" 0 66 0 0 39 47 0 0 0 0 0 0
"Mogibacterium" 0 55 64 92 57 42 0 0 0 0 0 0
"Prevotella 1" 0 26 53 48 180 21 19 0 0 72 61 84
"Roseburia" 0 99 0 0 49 0 0 0 0 39 0 0
"Flavonifractor" 0 0 71 0 48 0 0 0 0 0 0 0
"Lachnospiraceae AC2044 group" 0 0 71 0 55 67 0 81 0 0 158 61
"Lachnospiraceae NK4A136 group" 0 0 33 0 47 21 0 42 0 0 93 65
"Ruminiclostridium 9" 0 0 98 0 33 30 48 0 0 0 0 0
"Ruminococcaceae UCG-011" 0 0 48 0 0 23 0 0 0 0 33 0
"Ruminococcus 1" 0 0 260 73 188 41 38 163 0 109 233 192
"[Eubacterium] brachy group" 0 0 0 40 0 0 0 0 0 0 0 0
"Anaerovorax" 0 0 0 59 23 34 0 0 0 0 0 0
"Lachnospiraceae NC2004 group" 0 0 0 29 0 0 0 0 0 0 0 0
"Lysinibacillus" 0 0 0 78 52 0 798 0 1074 0 0 0
"Coprococcus 3" 0 0 0 0 21 49 0 0 0 0 0 0
"Defluviitaleaceae UCG-011" 0 0 0 0 25 0 0 0 0 0 0 0
"Dorea" 0 0 0 0 40 0 0 19 0 0 0 0
"Halomonas" 0 0 0 0 7 0 0 0 0 0 0 0
"Lachnoclostridium 10" 0 0 0 0 45 0 0 0 0 20 0 0
"Lachnospiraceae UCG-010" 0 0 0 0 85 0 0 0 0 44 0 106
"Pirellula" 0 0 0 0 12 0 0 0 0 0 0 0
"Prevotellaceae UCG-001" 0 0 0 0 46 0 0 0 0 51 0 0
"Ruminiclostridium 5" 0 0 0 0 50 0 0 0 0 0 0 0
"Ruminococcaceae UCG-014" 0 0 0 0 111 54 68 161 164 28 365 99
"Solibacillus" 0 0 0 0 40 0 133 0 396 0 0 0
"XBB1006" 0 0 0 0 61 43 0 0 0 0 0 0
"Turicibacter" 0 0 0 0 0 16 0 0 0 0 0 0
"Odoribacter" 0 0 0 0 0 0 10 0 0 0 0 0
"[Eubacterium] ruminantium group" 0 0 0 0 0 0 0 0 0 0 58 0
"Ruminiclostridium 1" 0 0 0 0 0 0 0 0 0 0 18 0
"Ruminococcaceae V9D2013 group" 0 0 0 0 0 0 0 0 0 0 15 0
