"D11574" "D11575" "D11576" "D11577" "D11580" "D11581" "D11586" "D11587" "D11588" "D11589" "D11590" "D11591"
"[Eubacterium] coprostanoligenes group" 16224 5144 11616 7439 12219 26792 22962 55542 41082 23854 23028 36162
"[Eubacterium] ruminantium group" 972 0 4972 638 1643 1913 0 0 0 0 294 0
"[Eubacterium] xylanophilum group" 393 0 439 0 259 0 0 0 0 0 0 0
"Agathobacter" 416 3165 0 517 3039 642 979 0 408 1467 5656 0
"Alistipes" 306 681 0 1016 0 606 0 0 0 0 0 0
"Anaeroplasma" 338 262 0 255 0 236 0 0 0 0 0 0
"Anaerosporobacter" 361 0 446 0 0 823 0 0 0 0 1185 0
"Anaerovorax" 656 0 1604 0 0 629 0 0 0 0 0 0
"Bifidobacterium" 1692 5349 23120 2005 0 452 709 0 1472 0 630 3796
"Blautia" 1103 1192 0 0 3301 412 560 690 2202 1659 3806 988
"Candidatus Soleaferrea" 1921 361 3808 2009 2289 2807 0 0 0 0 0 640
"Cerasicoccus" 1533 1349 14476 7733 4746 557 0 0 0 0 0 0
"Christensenellaceae R-7 group" 16515 5266 30783 9790 17936 17736 20669 11109 22474 26234 5771 7582
"Clostridium sensu stricto 1" 1605 232 4352 1047 12167 1983 1864 723 506 4799 3522 2501
"Coriobacteriaceae UCG-003" 9384 15281 0 4404 9371 14824 3765 7091 7060 1490 2518 3714
"dgA-11 gut group" 1491 0 2533 2949 391 1519 0 0 0 0 0 0
"Dialister" 3389 6247 0 5398 20245 542 0 8237 0 0 775 6124
"Dorea" 1499 875 0 0 1315 563 4818 0 0 0 493 0
"Elusimicrobium" 224 0 1299 571 0 0 0 0 0 0 0 0
"Enterorhabdus" 1211 554 314 912 1289 1124 0 0 0 0 0 0
"Erysipelotrichaceae UCG-003" 1707 3876 0 1051 5367 3220 1934 0 4867 2808 2394 0
"Faecalibacterium" 4515 17279 1348 6024 11648 3472 0 732 1078 0 4340 3339
