"D13559" "D13560" "D13561" "D13562" "D13563" "D13564" "D13565" "D13566" "D13567" "D13568" "D13569" "D13570" "D13571" "D13572" "D13573" "D13575" "D13577" "D13579" "D13580" "D13581" "D13582" "D13583" "D13584" "D13586" "D13587" "D13588" "D13589" "D13591" "D13592" "D13594" "D13595" "D13596" "D13598"
"Christensenellaceae R-7 group" 3272 4009 2408 17615 0 17296 5885 13439 15895 3513 8235 14056 17628 37467 7424 3667 3747 757 2709 3280 15785 7876 10355 20107 5628 15077 15405 11125 17182 5281 1998 6422 8586
"Lachnospiraceae AC2044 group" 136 1261 0 2866 0 1742 432 108 485 704 0 351 0 1462 191 344 325 105 1226 131 241 281 0 303 63 110 229 5621 0 75 0 0 516
"Papillibacter" 0 0 0 97 0 65 0 0 224 26 0 182 101 161 1872 0 0 0 0 0 6360 2774 4021 3244 991 1873 1214 930 1286 416 70 405 463
"Ruminococcaceae NK4A214 group" 1713 1712 1810 12623 0 9818 1849 2020 3788 5891 12325 6027 1477 12250 750 758 747 194 441 999 2354 2123 1962 3358 1063 1919 3322 556 1949 662 171 1152 1837
"Ruminococcaceae UCG-014" 12192 1314 3578 42431 0 555 6487 3397 11675 6809 0 4631 6625 16274 2064 2799 2638 902 1383 1666 5317 5099 3413 7311 1660 4779 1865 1643 4217 313 50 424 4059
"Treponema 2" 19736 4156 13460 12288 0 2534 2123 410 2163 3205 0 226 0 10933 3734 0 0 0 0 0 12135 4722 4474 18084 4047 14177 5497 6786 5001 4893 660 2752 11818
"[Eubacterium] coprostanoligenes group" 2578 1641 1818 852 0 4520 1531 224 728 346 50 2159 3815 4531 2287 5442 6773 1998 4662 7837 5170 3219 2238 4842 1118 4236 2739 1489 3993 3260 420 2749 4274
"GCA-900066575" 0 1186 551 606 0 268 556 484 1753 658 115 6304 0 759 18 0 0 0 0 0 0 98 0 0 0 0 167 43 98 0 9 152 157
"Rikenellaceae RC9 gut group" 20596 247 1714 3866 0 2573 662 742 226 3618 0 0 0 1535 2875 12714 13390 3514 11012 6441 10079 8360 9442 18054 3653 6026 10677 2311 4709 1234 244 2335 3583
"Ruminococcaceae UCG-005" 3453 2498 1635 31308 0 3336 11023 7367 8269 12761 4375 26892 4815 11861 1509 8709 13174 3358 5869 6714 3441 6540 3503 5802 2089 4362 5520 1584 2749 2654 321 1999 3913
"Ruminococcaceae UCG-010" 1876 925 17197 5321 0 7238 6194 3081 1533 2950 0 9558 3142 20076 2129 22124 27574 8898 9655 11516 6156 5138 4373 5392 1863 3659 2740 2485 2465 2255 328 3258 3758
"Pseudomonas" 379 122 0 0 59 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"p-1088-a5 gut group" 0 1015 0 296 0 135 0 115 84 46 0 680 588 497 108 153 76 0 24 84 328 0 156 0 0 0 265 166 447 0 0 51 0
"Ruminococcaceae UCG-002" 41 4057 11497 13304 0 4320 8386 11901 3158 4944 0 9337 7946 16339 137 222 275 44 162 129 334 531 357 3235 745 1690 354 944 721 459 100 112 1406
"UBA1819" 0 59 0 0 237 94 74 265 0 23 2096 0 231 0 0 0 0 0 0 0 0 0 0 0 0 0 27 69 27 40 20 62 99
"Arthrobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnoclostridium" 0 93 0 0 2502 0 245 28 0 0 21722 899 179 0 141 0 0 0 0 0 123 731 187 464 184 601 178 648 1885 954 113 374 317
"Aerococcus" 64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aliidiomarina" 54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anaerofustis" 39 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 61 81 49 121 38 150 24 25 126 0 6 32 32
