"D14213" "D14214" "D14215" "D14216" "D14217" "D14218" "D14219" "D14220" "D14221" "D14222" "D14223"
"[Eubacterium] hallii group" 4 7 0 82 43 0 0 0 0 0 0
"[Ruminococcus] gnavus group" 18 20 0 0 0 0 0 0 0 0 0
"[Ruminococcus] torques group" 15 13 55 18 11 0 0 0 0 0 0
"Acinetobacter" 44 54 3849 22 7 4873 3860 3748 93 0 27
"Aeromonas" 23 7 8 0 0 0 0 0 0 0 0
"Alloprevotella" 530 301 491 0 2 0 0 15 155 0 0
"Bacteroides" 12 11 255 21 5 0 158 753 1302 787 0
"Bauldia" 11 0 0 0 0 0 0 0 0 0 0
"Bifidobacterium" 537 427 0 395 508 0 0 0 0 0 0
"Blautia" 68 84 512 130 86 0 0 5 21 0 0
"Butyricicoccus" 58 17 33 0 0 0 0 0 0 0 0
"Catenibacterium" 13 7 0 194 162 0 0 0 0 0 0
"Citrobacter" 57 0 0 0 4 0 0 0 0 0 0
"Clostridium sensu stricto 1" 1615 1795 550 2284 1118 1159 23 565 1917 17 174
"Collinsella" 220 53 36 32 18 0 0 0 0 0 0
"Dialister" 154 16 0 6 11 0 0 0 0 0 0
"Diaphorobacter" 2 12 8 0 0 137 43 11 18 0 0
"Dorea" 160 43 0 417 239 0 0 4 2 0 0
"Elizabethkingia" 3 0 0 0 0 0 0 0 0 0 0
"Enterobacter" 392 395 23 28 26 109 18 77 8 41 0
"Enterococcus" 21 21 18 0 0 61 9 56 860 431 70
"Erysipelatoclostridium" 65 53 30 0 0 0 7 0 0 0 0
"Erysipelotrichaceae UCG-006" 38 40 55 220 133 0 0 0 0 0 0
"Escherichia-Shigella" 2156 2061 256 57 67 10 0 24 2980 184 13
"Faecalibacterium" 14 43 322 35 57 0 0 0 0 0 0
"Faecalitalea" 2 0 0 69 37 0 0 0 0 0 0
"Hafnia-Obesumbacterium" 4 4 4 0 0 0 0 0 0 0 0
"Holdemanella" 1341 1040 624 891 687 0 0 0 0 0 0
"Lachnoclostridium" 59 22 369 12 7 0 0 16 0 6 0
"Lachnospiraceae UCG-008" 150 214 15 525 355 0 5 11 0 130 0
"Lactobacillus" 4 4 0 35 65 0 0 0 0 0 0
