"D12373" "D12374" "D12375" "D12376" "D12377" "D12378" "D12379" "D12380" "D12381" "D12382" "D12383" "D12384" "D12385" "D12386" "D12387" "D12388" "D12389" "D12390"
"Bacteroides_pectinophilus_group" 12 6 0 0 0 3 0 0 0 0 4 26 13 0 0 0 0 0
"Eubacterium_coprostanoligenes_group" 206 257 183 139 536 214 71 110 466 312 107 99 213 451 482 2010 11 443
"Eubacterium_eligens_group" 67 15 29 34 4 37 15 64 9 6 27 15 19 0 0 0 0 0
"Eubacterium_hallii_group" 288 188 77 216 159 104 138 110 91 122 335 199 321 56 44 40 13 34
"Eubacterium_nodatum_group" 54 36 42 67 16 49 0 8 52 0 0 0 0 0 0 0 0 0
"Eubacterium_oxidoreducens_group" 2 2 0 2 2 0 3 0 2 0 0 0 2 0 0 0 0 0
"Eubacterium_ruminantium_group" 190 296 102 203 681 217 40 141 123 5 0 0 5 41 15 11 0 0
"Eubacterium_ventriosum_group" 4 0 3 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminococcus_gauvreauii_group" 101 31 28 24 34 25 44 21 30 51 130 57 48 0 0 0 6 0
"Ruminococcus_torques_group" 133 15 29 38 6 79 49 69 22 4 31 32 21 35 33 238 9 37
"Acidaminococcus" 55 4 48 0 0 0 0 2 79 17 142 216 154 139 88 72 129 304
"Agathobacter" 180 52 90 197 8 365 80 412 32 158 793 47 72 0 4 10 0 0
"Allisonella" 5 0 7 3 0 3 0 8 3 0 0 0 0 0 0 0 0 0
"Alloprevotella" 128 16 37 17 32 11 26 30 44 0 184 124 85 31 19 0 57 14
"Anaerococcus" 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anaerostipes" 19 0 4 2 0 6 21 3 0 145 300 126 148 105 285 12 4 152
"Anaerovibrio" 3 0 3 0 3 0 0 0 0 0 5 0 0 0 0 0 0 0
"Bacteroides" 2 0 0 0 5 0 0 0 0 0 0 14 2 0 0 5 0 5
