"D07441" "D07442" "D07443" "D07444" "D07445" "D07446" "D07447" "D07448" "D07449" "D07450" "D07451" "D07452" "D07453" "D07463" "D07464" "D07465" "D07466" "D07467" "D07468" "D07469" "D07470" "D07471" "D07472" "D07473" "D07474" "D07475"
"[Ruminococcus] gnavus group" 177 35 0 0 0 0 0 115 0 0 115 0 670 5784 2310 4490 677 1461 3945 5557 638 4785 2524 485 866 1132
"Acinetobacter" 9 0 0 7 0 0 150 0 133 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Actinomyces" 16 160 0 0 357 0 0 0 0 0 0 0 0 85 0 0 0 0 0 0 0 135 0 0 0 0
"Allobaculum" 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Alloprevotella" 8 0 0 0 0 0 0 0 0 0 0 0 0 0 197 0 0 0 0 0 0 0 0 758 3 0
"Bifidobacterium" 12 0 0 0 0 0 0 2 0 193 0 0 0 128 0 0 0 0 0 0 0 0 0 0 0 0
"Capnocytophaga" 7 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clostridium sensu stricto 1" 1325 7455 0 0 9011 6296 0 5118 0 0 167 43 7569 531 213 1259 336 4682 931 334 2208 2374 376 810 1205 768
"Collinsella" 8264 154 0 0 7199 22 0 6730 0 0 5984 0 15343 21436 8591 3250 9836 1281 24830 12412 1604 1839 64 210 6675 17225
"Corynebacterium" 13 274 0 0 1484 0 0 0 0 0 5 0 13 18 0 0 7 0 0 0 0 64 0 0 0 0
"Corynebacterium 1" 4 0 0 49 56 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 762 0 0 0 0
"Enterococcus" 378 281 0 0 950 16 0 91 0 0 0 129 61 64 0 0 55 12 0 0 0 0 9 0 0 0
"Fusobacterium" 22 0 0 0 3050 0 0 33 0 0 452 0 16 363 8298 9708 3787 368 3072 6146 5863 52 6883 371 91 54
"Granulicatella" 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Haemophilus" 16 0 0 0 0 0 0 0 0 397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Holdemanella" 46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnoclostridium" 5 16 0 0 0 0 0 32 0 0 109 0 309 211 371 2562 31 910 567 1432 746 1380 549 490 365 119
"Lactobacillus" 62 0 0 0 0 0 0 944 0 66 0 0 48 154 0 0 0 0 0 0 0 0 0 46 0 6
"Lautropia" 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mycoplasma" 4 0 0 193 0 0 0 0 240 278 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Neisseria" 10 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Paeniclostridium" 696 25 0 0 0 4165 2 5050 0 0 11 0 3287 326 49 284 231 2995 215 103 1877 1935 26 154 167 90
"Peptoclostridium" 4 22 0 0 70 93 0 135 0 0 4208 0 418 309 171 1816 1057 671 2274 1133 867 254 0 368 334 661
"Peptoniphilus" 43 58 0 0 309 352 0 0 144 0 0 0 0 0 33 144 155 67 108 0 0 0 67 0 257 161
"Peptostreptococcus" 63 378 0 0 0 163 0 858 0 0 0 0 152 0 24 350 232 1475 196 0 147 0 54 50 779 1553
"Prevotella" 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Prevotella 7" 11 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rothia" 11 0 0 30 0 0 0 0 0 44 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0
"Slackia" 5 0 0 0 81 0 0 23 0 0 31 0 544 29 146 283 33 52 94 94 22 0 0 0 89 21
"Streptococcus" 24 764 0 0 3337 0 0 510 308 0 280 0 36 183 0 0 28 0 0 0 37 629 0 0 50 50
"Veillonella" 10 0 0 0 0 0 0 0 0 441 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 0
"Acetitomaculum" 0 45 0 0 29 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Acidovorax" 0 16 0 0 0 0 0 148 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Blautia" 0 3 0 0 182 0 0 312 0 0 1297 0 754 638 461 1351 47 1642 3161 1591 1110 1684 243 1471 1607 1912
"Dielma" 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Escherichia-Shigella" 0 1414 0 0 2772 0 0 22 92 0 558 3645 113 524 523 596 2563 263 569 5930 7290 1459 703 965 70 0
"Gemella" 0 202 0 0 474 0 0 59 0 0 4 0 0 0 0 0 0 0 0 0 0 41 0 0 0 0
"Hydrogenophaga" 0 7 0 0 33 0 0 21 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Leucobacter" 0 40 0 0 5954 0 0 0 0 0 0 0 0 60 0 0 0 0 0 0 0 10 0 0 0 0
"Parvimonas" 0 23 0 0 273 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 0 0 6 0
"Pseudomonas" 0 33 0 522 113 0 417 505 399 399 27 0 31 0 0 0 0 7 0 0 0 37 0 0 0 9
"Bacillus" 0 0 164 0 0 0 0 0 129 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lysinibacillus" 0 0 10499 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Psychrobacillus" 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Solibacillus" 0 0 969 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
