"D11592" "D11593" "D11594" "D11595" "D11597" "D11598" "D11599" "D11600" "D11601" "D11602" "D11603"
"[Eubacterium] coprostanoligenes group" 22354 9167 5574 20921 17881 42321 2901 12815 8901 19863 4652
"[Eubacterium] eligens group" 2540 1914 5538 8697 2386 0 5012 1070 0 591 0
"[Eubacterium] hallii group" 1060 0 730 709 1236 4987 2926 0 0 0 0
"Acinetobacter" 102634 180359 141931 51865 144416 0 0 0 0 0 0
"Agathobacter" 16809 7421 13666 17791 14654 6454 8074 4509 777 794 486
"Alloprevotella" 3561 1712 2269 1977 3476 0 1100 0 0 453 0
"Anaerostipes" 2576 810 1898 1773 2817 0 392 0 0 0 0
"Anaerovibrio" 3259 3377 5255 9408 3212 1498 2196 1810 3615 1627 687
"Bacillus" 2412 0 0 0 0 0 0 0 0 0 0
"Bifidobacterium" 12442 5133 2064 10018 12235 649 0 0 0 3430 0
"Blautia" 3132 1715 3806 3107 3174 73998 4186 5946 2699 8471 1653
"Campylobacter" 447 0 0 973 602 0 0 0 0 390 0
"Cerasicoccus" 2242 0 1527 6874 3032 15667 1527 4165 2872 1624 1422
"Christensenellaceae R-7 group" 5614 1582 5841 8052 6475 37393 11324 18074 31531 18825 18712
"Collinsella" 2274 1331 2039 2278 1932 1918 879 0 393 2554 0
"Coriobacteriaceae UCG-003" 10649 3597 2620 6308 8700 46268 9100 9400 6196 18905 7131
"Dialister" 5008 3680 4240 5546 4888 36298 10556 616 4117 5079 1453
"Dorea" 1614 755 3032 671 1064 4431 2480 0 3228 1512 995
"Enterorhabdus" 1285 418 612 1757 1223 7852 1671 315 369 1817 762
"Erysipelotrichaceae UCG-003" 2132 0 4768 1442 1888 3248 1689 0 835 0 1178
"Erysipelotrichaceae UCG-006" 3518 1413 4378 2935 3381 4715 3774 3415 1196 5020 2093
"Faecalibacterium" 15667 5762 19376 10518 11607 81654 9958 9319 5650 3510 9190
"Family XIII UCG-001" 2790 765 1071 1258 2474 663 0 0 0 0 486
"Fibrobacter" 1568 859 1838 1981 1889 0 0 0 0 0 0
"Fusicatenibacter" 1121 551 399 860 1142 30523 0 1141 4923 1129 2032
"GCA-900066575" 3384 1310 804 2228 2769 0 0 0 0 0 0
"Holdemanella" 1210 0 1361 920 1196 0 0 0 1087 864 0
"Kurthia" 86110 1874 25959 31607 42398 0 0 0 0 0 0
"Lachnoclostridium" 4633 4668 4597 8618 4764 11544 1073 2580 687 1883 1151
"Lachnospiraceae ND3007 group" 6044 3017 21037 9577 6631 42710 21711 10968 10879 10336 11187
"Lachnospiraceae NK3A20 group" 3270 3374 6224 2161 3037 33341 1978 2658 7693 15077 6384
"Lachnospiraceae NK4A136 group" 5078 2168 3950 9625 6955 24820 11635 23557 16981 14467 6807
