"D13671" "D13673" "D13675" "D13677" "D13679" "D13681" "D13683" "D13685" "D13687" "D13689" "D13691" "D13693" "D13695" "D13697" "D13699" "D13701" "D13703" "D13705" "D13707" "D13708" "D13709" "D13710" "D13711" "D13712" "D13713" "D13714" "D13715" "D13716" "D13717" "D13718" "D13719" "D13720" "D13721" "D13722" "D13723"
"Eubacterium_coprostanoligenes_group" 29 4 0 0 16 29 212 10 13 104 74 24 33 57 13 27 28 70 143 51 25 60 59 34 36 7 61 49 21 4 16 14 126 115 42
"Eubacterium_oxidoreducens_group" 9 21 0 2 0 0 0 0 6 0 0 2 18 0 0 0 4 0 0 0 2 0 0 0 0 0 6 6 11 8 9 0 0 3 3
"Eubacterium_xylanophilum_group" 138 251 0 156 0 73 21 8 9 13 0 27 63 102 46 0 0 11 0 0 0 0 0 0 0 0 2 11 6 14 2 0 0 3 2
"A2" 17 59 0 15 7 6 15 0 0 0 0 0 0 10 0 0 58 0 5 3 159 0 0 15 0 3 37 254 11 26 10 344 2 3 0
"Acetatifactor" 15 10 3 6 34 17 17 10 25 25 90 291 14 10 31 80 12 7 0 7 2 5 4 3 0 0 12 21 54 3 2 8 0 0 0
"Acetitomaculum" 22 47 0 26 0 7 0 0 0 0 0 0 6 0 20 0 37 0 0 0 0 20 0 10 3 0 16 13 0 0 0 0 0 0 0
"Agathobacter" 10 33 0 44 0 27 0 0 4 0 9 0 0 0 0 2 0 0 4 0 6 0 4 0 0 0 5 5 3 0 5 10 0 4 0
"Alistipes" 66 282 59 34 514 77 170 24 199 363 364 466 164 2114 103 311 502 74 225 290 111 127 208 181 67 95 109 14 305 234 102 11 18 155 40
"Allobaculum" 17 5 141 0 0 0 1760 26 0 0 0 0 0 0 9 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 2 2 0 0 0 4 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 17 2 0 0 0 0 0 3 0 0 0 3 2 4
"Bacteroides" 2 0 3 2 111 0 84 14 0 7 25 11 7 45 0 8 6 0 9 0 0 0 47 103 30 120 10 183 0 2 0 6 21 47 26
"Bilophila" 5 0 0 12 6 0 0 0 0 0 0 0 0 42 0 0 129 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Blautia" 985 2 0 20 33 5 25 0 78 38 6 292 264 401 0 7 254 0 0 0 40 6 4 5 2 10 13 9 14 12 0 2 3 15 0
"Butyricicoccus" 39 35 0 38 2 0 0 0 62 8 9 0 27 3 14 0 10 0 9 20 12 28 0 18 18 61 14 9 28 31 14 6 3 0 0
"Candidatus_Soleaferrea" 10 2 0 0 0 0 0 0 0 0 0 0 0 14 0 0 9 0 0 3 0 0 2 0 0 0 5 10 2 0 0 0 0 2 0
"Corynebacterium_1" 6 0 7 0 0 0 17 5 0 0 0 0 0 0 0 0 0 4 0 0 4 0 0 0 0 0 0 0 0 0 0 2 0 2 0
"Desulfovibrio" 3 14 0 3 6 0 0 0 11 5 17 0 37 0 12 14 10 0 12 0 0 24 6 31 6 0 11 13 6 0 8 4 0 0 0
"Elusimicrobium" 5 0 0 0 0 0 0 0 19 201 68 12 39 22 4 4 18 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0
"Enterobacter" 7 0 0 0 3 0 4 0 8 0 9 4 10 0 6 7 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Family_XIII_UCG-001" 13 0 0 0 0 2 0 0 2 0 0 0 0 0 4 2 4 0 0 0 0 4 0 0 0 0 0 0 0 4 0 0 0 0 0
"Flavonifractor" 3 4 0 0 4 0 0 0 0 0 23 5 0 9 0 0 3 0 0 9 0 3 6 0 0 0 0 0 16 7 0 0 0 0 0
"GCA-900066575" 57 78 4 79 67 8 0 0 35 49 557 155 116 34 34 228 46 0 16 27 30 206 10 34 0 21 70 51 52 20 0 31 4 7 26
"Helicobacter" 181 78 0 105 36 38 309 55 1384 145 5926 235 222 160 799 627 410 88 31 41 5 42 37 0 941 3598 353 371 18 5 238 50 0 647 14
"Jeotgalicoccus" 27 0 24 0 0 0 186 57 0 0 0 0 0 0 0 0 0 12 3 6 0 0 3 0 0 0 0 0 0 8 0 12 11 3 0
"Lachnoclostridium" 38 102 4 21 44 9 35 11 104 12 317 464 157 20 171 50 124 22 21 32 26 106 0 16 17 17 109 96 60 54 12 20 0 8 5
"Lachnoclostridium_5" 35 0 0 0 2 0 0 0 14 0 0 9 0 231 4 4 10 0 0 0 3 0 0 0 0 3 2 0 4 19 0 0 0 0 0
