"D03235" "D03243" "D03244" "D03247" "D03248" "D03250" "D03251" "D03254" "D03259" "D03260" "D03261" "D03264" "D03266" "D03267" "D03270" "D03272" "D03273" "D03276" "D03279" "D03283" "D03284" "D03285" "D03286" "D03288" "D03289" "D03290" "D03291" "D03292" "D03296" "D03297" "D03298" "D03299" "D03301" "D03303" "D03307" "D03308" "D03310" "D03311" "D03312" "D03313" "D03316" "D03317" "D03319" "D03322" "D03324" "D03325" "D03332" "D03333" "D03335" "D03339" "D03343" "D03344" "D03346" "D03347" "D03354" "D03359" "D03364" "D03366" "D03367" "D03368" "D03369" "D03370" "D03372"
"[Eubacterium] coprostanoligenes group" 18 28 170 0 35 0 0 38 0 0 0 14 156 417 218 136 80 0 0 18 0 0 0 82 0 0 0 0 22 0 0 0 32 0 0 0 141 0 0 0 0 56 11 106 18 0 0 669 17 0 12 22 0 121 104 0 37 10 17 40 0 32 15
"28-4" 11 0 0 11 0 0 0 0 0 0 21 0 48 0 7 6 0 0 0 0 82 0 0 0 0 125 37 156 142 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 67 18 0 0 0 0 4 0 37 0 0 3 13
"Alistipes" 11 490 0 0 132 163 353 0 94 241 207 43 143 359 0 0 431 186 211 0 106 22 65 322 34 12 22 202 382 112 445 111 82 0 197 165 10 16 35 0 161 198 0 0 77 313 15 0 0 64 108 39 34 182 102 210 63 120 5 62 407 68 50
"Coprococcus 2" 196 0 0 110 0 0 0 259 0 0 0 0 137 62 0 123 0 0 0 10 227 0 0 0 0 0 0 0 233 0 0 0 0 0 19 0 100 103 0 0 0 114 0 227 0 0 0 0 0 0 0 0 108 0 0 121 0 83 1365 0 196 0 0
"Desulfovibrio" 50 87 0 652 0 54 0 0 86 44 0 0 0 0 15 1648 243 0 114 469 73 466 58 0 10 30 0 0 0 42 0 0 0 0 0 0 0 0 75 0 123 22 0 12 0 0 0 263 1323 56 120 64 1021 0 84 0 54 0 26 222 59 232 299
"Family XIII UCG-001" 59 0 108 0 0 0 0 0 47 26 0 0 0 0 11 0 0 0 0 50 0 0 24 0 0 0 0 0 0 4 0 0 0 71 0 0 22 0 0 0 0 0 0 56 0 0 6 0 127 16 14 0 0 0 0 0 21 0 9 14 0 50 23
"GCA-900066575" 40 446 216 74 7 33 176 311 167 58 77 30 51 22 305 119 0 251 0 99 277 59 363 414 222 289 86 104 271 0 41 0 356 130 0 26 123 239 192 0 319 60 0 181 19 0 270 176 132 247 134 617 127 0 56 271 187 0 536 208 306 66 263
"Helicobacter" 143 672 0 0 481 25 0 96 532 344 77 59 616 524 681 484 556 261 0 191 441 73 339 5812 143 9135 549 4784 2479 0 0 38 650 493 0 151 962 206 1224 0 0 9580 0 218 1983 346 34 127 0 1892 1911 201 0 600 91 17874 80 79 521 212 338 638 98
"Lachnoclostridium" 41 116 139 46 0 8 151 99 119 44 103 0 60 51 67 42 0 145 419 54 142 66 308 36 247 622 27 38 239 0 167 79 326 116 0 0 15 71 119 0 111 0 0 88 0 0 96 17 91 31 80 6 91 31 49 127 146 0 28 111 238 65 55
"Lachnospiraceae FCS020 group" 51 128 528 116 0 0 47 0 0 3 0 0 48 0 0 37 0 0 0 0 0 0 128 0 0 117 0 53 0 0 0 303 0 106 0 0 0 0 82 0 56 0 0 112 0 0 62 0 68 180 0 0 114 0 0 0 79 16 58 97 14 84 0
"Lachnospiraceae NC2004 group" 52 0 0 0 0 0 0 0 11 11 0 0 0 0 0 0 0 0 0 0 0 0 83 0 0 0 0 21 33 0 0 0 0 62 0 0 0 0 0 0 0 0 0 1265 0 0 72 0 0 0 0 0 0 166 0 22 10 0 0 0 0 0 75
"Lachnospiraceae NK4A136 group" 4130 4066 2360 17321 86 6193 5222 5584 16389 5736 3302 387 6216 3912 3579 4629 4845 7021 34892 5721 12620 17125 11665 11085 22879 3906 14092 7535 6908 1054 2422 4145 8665 17380 503 3085 8466 7114 10217 0 3148 1458 23 11327 1093 281 6495 3116 4063 13275 9673 11280 26226 2908 1425 12095 3175 2525 9088 6068 21937 9595 12890
"Lachnospiraceae UCG-001" 49 95 121 0 10 0 87 0 1262 167 221 0 1347 102 42 28 423 87 0 322 0 0 890 184 37 89 82 35 120 0 0 0 6 85 0 0 53 27 583 0 0 513 0 755 0 0 96 231 0 226 274 0 0 140 119 0 476 0 0 43 94 117 502
"Lachnospiraceae UCG-008" 228 187 35 115 0 135 61 0 318 227 44 0 534 51 32 93 263 77 0 267 476 83 566 812 666 1238 0 564 1750 0 0 0 32 198 0 0 104 26 130 0 45 217 0 243 0 0 26 147 65 120 258 38 291 382 365 505 51 47 0 65 0 91 152
"Lactobacillus" 17125 242 12889 41 543 457 7335 92 212 1099 332 144 835 9336 686 830 312 16897 213 870 663 320 423 134 951 72 25 69 3403 8403 26216 2747 3708 2309 3542 459 3367 6648 608 23999 816 985 2332 2198 3001 600 5473 24987 3728 137 400 497 95 1069 3328 125 49 1217 79 593 227 2639 356
"Oscillibacter" 82 689 204 108 0 265 147 1307 765 798 1007 17 1285 410 540 590 280 332 0 336 238 72 1882 1020 508 1024 390 1060 1322 0 0 95 536 738 0 86 480 894 226 0 746 36 0 1031 172 0 333 171 838 1589 774 403 208 54 127 602 658 108 1222 828 552 545 699
"Ruminiclostridium" 73 939 707 17 0 138 130 343 1435 280 1883 5 602 392 1088 344 197 1203 266 532 529 86 1222 650 73 1019 210 974 829 0 25 241 1448 1315 0 0 442 633 379 0 1853 83 0 742 447 0 237 154 2524 825 1047 309 150 21 72 554 532 0 237 1172 317 872 830
"Ruminiclostridium 9" 192 2299 518 204 0 160 126 458 1467 559 1388 15 527 546 1028 625 312 441 74 534 372 50 1214 1648 405 2987 269 2150 1315 34 219 126 1124 2278 0 176 1278 803 890 0 417 120 0 898 98 34 977 276 2367 1812 1689 1492 268 199 325 1597 735 69 409 2698 536 652 978
"Ruminococcaceae UCG-005" 14 15 0 0 0 0 0 0 0 0 43 0 0 48 38 91 43 35 0 18 0 0 13 0 0 0 42 0 196 0 0 0 12 73 0 0 8 26 20 0 58 0 0 142 0 0 16 0 20 55 21 10 40 0 0 0 72 0 35 106 49 37 94
"Ruminococcaceae UCG-014" 14 0 0 166 10 389 0 146 31 279 29 222 41 18 244 129 0 0 0 116 51 250 100 0 87 14 95 34 131 724 503 461 0 17 0 96 9 0 4 0 0 173 0 119 0 87 33 438 24 25 0 35 256 26 49 0 154 0 0 0 0 99 16
