"D04372" "D04373" "D04374" "D04375" "D04376" "D04377" "D04378" "D04379" "D04380" "D04381" "D04382" "D04383" "D04384" "D04385" "D04386" "D04387" "D04388" "D04389" "D04390" "D04391" "D04392" "D04393" "D04394" "D04395" "D04396" "D04397" "D04398" "D04410" "D04411" "D04412" "D04413" "D04414" "D04415" "D04416" "D04417" "D04418" "D04419" "D04420" "D04421" "D04422" "D04423" "D04424" "D04432" "D04433" "D04434" "D04435" "D04436" "D04437" "D04438" "D04439" "D04440" "D04441" "D04442" "D04443"
"[Eubacterium] coprostanoligenes group" 1059 1431 1428 1131 891 745 1736 2271 1732 1815 2463 2672 4992 1626 3059 1799 1695 2656 2579 730 1837 1052 1268 3180 2330 2069 1319 4278 1370 2265 1547 614 61 121 1052 271 3258 371 1129 2351 316 1160 1625 4555 2317 3565 1464 1005 4449 3168 5842 2194 5485 2299
"[Eubacterium] eligens group" 122 274 92 96 71 152 90 193 64 122 82 58 112 35 87 153 39 63 37 27 101 67 67 54 40 44 144 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 127 0 123 0 990 172 0 0 0 26 0 1580
"[Eubacterium] oxidoreducens group" 869 1164 1562 2072 4443 2050 972 2208 749 913 377 831 1025 427 910 1868 868 1534 1047 1175 1548 829 601 901 1140 625 1586 156 844 2409 42 0 26 25 0 81 403 148 406 1954 258 110 0 123 153 191 0 0 139 136 0 0 228 0
"[Eubacterium] ventriosum group" 30 0 22 26 42 26 0 0 0 16 0 0 0 0 0 48 14 27 0 0 19 0 0 0 26 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"[Ruminococcus] torques group" 1351 483 1693 767 1852 1136 131 1199 1973 1037 839 1344 644 895 1698 1758 711 1742 1129 944 3802 1156 1045 1184 2245 1104 527 114 988 583 1310 1785 150 155 1248 699 547 1575 426 337 2230 441 1829 493 1694 672 1379 1735 256 1057 685 2844 968 3011
"Agathobacter" 279 539 0 2655 297 962 0 629 233 227 73 333 288 57 726 4021 740 1732 245 138 667 386 215 912 444 515 463 0 0 0 0 0 0 0 0 0 0 211 0 0 0 0 0 0 0 0 0 0 0 0 0 133 0 0
"Akkermansia" 606 85 734 1631 0 361 5649 445 310 43 0 0 97 0 233 676 5045 0 0 0 0 0 0 0 0 0 50 74 101 36 0 0 0 0 0 255 80 0 45 416 528 0 13 0 302 0 47 78 14 13 88 0 0 0
"Blautia" 1978 3686 2960 3565 8304 3247 2180 2348 1159 1836 1324 1274 2180 1291 1540 3231 694 1764 703 1267 2206 1119 882 1250 1377 775 4841 874 1044 1470 601 624 682 562 561 1331 880 472 541 1074 1625 804 1579 871 2498 336 1274 1644 682 458 493 1799 356 1218
"Candidatus Soleaferrea" 60 14 62 36 26 54 13 42 44 53 58 61 48 48 60 34 42 37 74 40 24 42 49 70 69 52 42 34 35 41 33 0 0 0 19 0 18 15 25 27 0 37 48 137 86 77 35 89 137 69 244 45 190 0
"Christensenellaceae R-7 group" 2116 3386 2979 1335 1290 3141 2837 1380 1637 1166 1926 1352 1125 2405 1228 2443 1324 668 2293 959 406 802 975 1493 776 1383 3202 6074 1244 2201 2269 7532 8510 7171 8901 5151 3665 1127 671 4396 5499 5822 694 1277 1939 1043 457 1266 1656 923 1583 428 1699 0
"Coprococcus 3" 468 141 457 362 798 802 495 597 227 313 131 431 601 300 419 263 193 412 227 299 408 162 208 416 311 158 378 0 231 194 249 404 93 83 619 15 402 422 107 376 0 196 33 31 20 30 62 76 0 75 0 82 18 380
"DNF00809" 48 76 64 70 19 97 161 48 15 0 19 0 71 29 50 77 12 24 20 18 0 0 61 49 47 36 69 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 51 0 32 16 0 0 0 43 0 34
"Enterorhabdus" 179 252 273 350 124 229 202 132 81 75 108 71 107 126 47 202 86 86 92 101 161 47 93 173 89 84 228 18 0 124 16 25 77 64 0 45 0 0 0 343 75 0 0 0 0 0 0 0 0 0 0 0 0 0
"Faecalibacterium" 85 43 22 61 0 54 22 134 312 247 135 48 103 49 250 47 58 334 120 69 97 103 57 473 209 100 44 21 427 1112 761 359 58 104 279 14 79 1416 712 386 74 453 476 754 225 268 1153 1112 396 525 898 154 278 6602
"Family XIII AD3011 group" 110 116 138 142 165 101 113 99 90 57 80 110 126 62 404 109 138 376 183 65 682 143 103 226 274 221 75 56 141 185 0 93 110 145 36 15 36 24 92 201 50 0 157 0 138 21 185 264 28 37 140 501 30 21
"Family XIII UCG-001" 105 170 152 160 71 223 40 150 82 146 178 86 136 101 201 178 85 143 134 158 148 121 75 201 182 110 143 0 47 39 26 0 0 0 0 0 24 24 33 24 0 14 0 32 30 0 0 0 0 20 31 54 17 0
"Fibrobacter" 245 593 84 868 451 344 80 141 212 22 118 55 295 137 40 1702 441 277 138 26 329 50 52 174 212 724 693 24 0 0 0 61 0 0 99 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Flavonifractor" 66 0 147 123 0 75 21 132 253 240 110 241 74 123 187 0 204 247 140 101 116 154 156 155 129 147 36 0 0 0 0 0 13 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30
"Lachnoclostridium" 1430 2239 3320 2105 5299 4027 444 2059 2160 1653 857 1537 2618 1569 2026 2876 1078 2108 1651 1869 3221 2117 1363 1968 2460 1436 3056 244 1314 1304 1492 1932 366 215 1606 557 1202 1941 764 1395 1435 558 2073 646 2136 703 2093 2112 636 955 664 2245 1052 2560
"Lachnospiraceae AC2044 group" 922 1388 652 545 805 1168 687 1782 1365 1410 636 999 689 125 675 1250 137 583 1030 282 923 468 468 735 439 34 1116 140 0 153 196 317 62 0 32 0 168 118 13 22 0 110 902 0 182 122 865 500 0 178 127 524 0 668
"Lachnospiraceae FCS020 group" 233 0 204 93 69 43 0 82 142 154 82 77 154 130 213 79 165 340 181 71 199 151 247 38 213 132 29 0 132 244 441 392 344 266 522 0 89 375 76 35 0 273 0 52 0 44 0 0 34 311 30 0 61 51
"Lachnospiraceae NC2004 group" 77 156 115 247 139 39 247 182 14 68 53 0 131 0 61 135 103 64 32 62 138 69 19 123 86 32 175 124 579 557 109 0 0 18 0 51 193 410 249 904 318 0 229 119 82 237 176 191 138 73 55 240 138 113
"Lachnospiraceae ND3007 group" 80 52 80 36 0 100 26 42 118 0 46 68 149 71 105 150 0 50 13 23 131 48 84 119 72 30 24 0 19 63 26 0 39 0 17 0 0 39 0 39 0 27 37 66 48 92 36 22 123 107 102 33 155 304
"Lachnospiraceae NK4A136 group" 695 1215 713 1520 813 599 1090 894 1384 1946 2518 488 999 1837 682 2128 786 716 341 289 1138 863 429 710 1367 538 1512 7005 2279 1541 2324 2574 591 1542 4454 764 6052 1613 881 1532 1617 853 3603 619 1859 608 3186 1563 799 1794 402 1227 589 235
"Lachnospiraceae UCG-001" 342 353 362 354 289 445 286 709 559 491 399 598 543 453 784 657 421 623 368 293 1056 387 377 614 749 447 255 230 460 852 208 289 32 66 359 145 142 95 150 998 222 137 141 31 101 27 151 116 52 117 0 86 85 329
"Lachnospiraceae UCG-004" 27 0 29 28 80 24 0 243 132 113 63 170 341 84 231 0 206 276 78 63 122 175 59 38 236 198 46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae UCG-008" 81 299 0 99 670 128 41 481 21 93 54 25 287 126 130 148 68 264 138 251 599 111 37 86 75 74 302 0 43 0 68 0 0 10 0 104 66 0 0 0 0 0 51 44 0 107 87 33 34 100 567 49 0 110
"Lachnospiraceae XPB1014 group" 51 36 65 44 198 37 0 212 49 39 46 69 124 21 125 32 11 145 0 39 149 31 17 72 68 92 95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Marvinbryantia" 77 188 129 65 237 141 182 95 45 95 90 28 51 24 59 167 44 162 116 35 33 64 65 40 106 33 159 265 281 1286 526 688 1232 923 603 646 553 703 171 1285 1746 281 427 278 395 328 320 202 187 165 209 383 229 992
"Roseburia" 637 1679 636 1240 1218 738 987 2749 899 1436 1476 1017 2606 589 1013 1685 882 893 869 940 2123 965 910 1865 1882 842 1214 422 1292 3749 1230 488 328 983 390 391 2027 2451 484 3475 336 244 1428 53 900 230 1676 812 56 1185 127 1771 169 3708
"Ruminiclostridium" 456 333 258 629 51 154 86 594 935 506 641 420 852 567 916 379 606 470 682 287 434 389 412 669 661 559 258 0 41 0 0 20 0 15 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminiclostridium 5" 60 95 185 112 205 105 14 54 69 33 36 68 91 73 124 82 61 199 26 83 186 61 75 41 111 128 224 67 62 78 89 75 120 81 76 53 198 80 51 60 66 49 0 0 17 0 0 0 0 0 0 0 0 0
"Ruminiclostridium 6" 580 1037 1073 473 442 1814 1085 846 326 1325 1098 547 161 565 328 1097 818 104 716 671 84 427 492 278 103 430 860 1133 261 0 85 41 0 0 0 754 2711 48 314 0 1470 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminiclostridium 9" 278 324 283 182 51 219 319 172 164 175 246 143 257 219 127 160 58 59 196 71 107 150 139 225 237 154 207 156 291 235 165 253 58 42 207 60 209 38 205 261 175 88 589 916 1385 724 382 760 1101 601 1152 622 1325 122
"Ruminococcaceae NK4A214 group" 8601 4218 7159 5603 2400 10407 4611 2096 2296 3238 4513 2446 2601 3741 3106 4791 3995 1604 5869 4927 843 5640 2556 4443 3789 2104 4846 1091 205 142 1416 953 2002 1439 878 68 570 481 159 136 116 1278 715 1102 770 955 226 626 1227 1140 1239 533 1448 34
"Ruminococcaceae UCG-002" 512 352 299 437 73 252 300 635 671 482 1121 354 484 622 661 233 572 365 1035 340 222 584 272 562 379 645 227 1697 1214 233 1625 1028 1478 1328 1848 116 672 661 998 307 175 2355 2562 3507 3687 3548 2101 3401 3479 1447 3346 1741 2720 591
"Ruminococcaceae UCG-003" 28 0 46 32 0 23 0 0 0 43 0 0 45 25 59 35 61 51 44 0 20 84 33 0 77 30 0 0 0 33 89 71 0 0 80 0 86 67 19 0 0 83 86 201 67 211 183 142 120 114 120 98 97 42
"Ruminococcaceae UCG-005" 11032 11521 12253 13349 8591 11539 7889 23334 14283 15306 16325 16670 25283 9818 18090 12848 16407 29031 20170 14849 22105 15673 11083 13446 17720 13271 10986 11071 11021 8591 13433 9562 9713 7524 8797 7748 10385 8904 8108 7334 9352 19119 19693 17210 19961 17152 26321 18571 17929 15458 15790 15615 16000 30677
"Ruminococcaceae UCG-009" 363 274 248 539 302 344 310 532 330 412 591 376 394 176 532 377 300 185 744 153 101 145 307 202 231 333 360 506 421 193 712 329 559 444 337 190 320 341 362 206 801 455 780 871 879 714 506 934 629 148 550 674 742 41
"Ruminococcaceae UCG-010" 982 575 1570 1576 711 806 1225 2169 2538 1501 2589 1354 2497 1649 2472 1133 1864 2557 2384 794 957 1119 907 1498 2089 2410 1276 547 615 743 967 535 382 455 605 356 712 569 439 566 300 674 289 853 474 495 193 475 775 172 886 580 634 52
"Ruminococcaceae UCG-011" 139 494 197 141 414 280 126 84 32 85 65 225 96 315 53 317 54 27 250 272 63 69 84 67 91 102 638 21 30 134 0 0 32 80 0 0 93 18 0 209 0 0 0 0 0 0 0 0 85 0 0 0 67 0
