"D12453" "D12454" "D12455" "D12456" "D12457" "D12458" "D12459" "D12460" "D12461" "D12462" "D12463" "D12464" "D12465" "D12466" "D12467" "D12468" "D12469" "D12470" "D12471" "D12472" "D12473" "D12474" "D12475" "D12476"
"Eubacterium_coprostanoligenes_group" 271 468 227 425 149 0 0 36 0 330 10 0 146 415 163 1228 22 388 1065 0 24 21 656 62
"Eubacterium_fissicatena_group" 237 242 474 238 238 54 0 0 2149 685 68 154 473 44 2877 1600 66 2774 2455 33 449 2017 1441 3428
"Ruminococcus_torques_group" 11 0 0 0 73 0 0 263 39 0 0 16 0 0 358 360 0 477 60 0 38 172 227 6
"Acinetobacter" 6 0 0 0 12 18 4026 863 205 14 0 9 13 761 51 58 321 113 108 5 0 18 0 22
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 10 0 0 0 13 0 0 8 0 0 0 0 0 23 0 15 21 15 0 0 0 0 20 68
"Anaerofustis" 10 0 8 8 9 0 0 0 0 0 0 0 26 4 0 0 0 57 11 0 0 7 22 72
"Anaerotruncus" 34 20 53 52 78 0 0 0 42 333 0 117 380 105 106 9 17 259 1100 0 252 87 37 71
"Angelakisella" 26 21 27 12 49 0 0 0 0 0 16 0 35 42 0 54 0 0 561 104 761 46 205 86
"Arcobacter" 192 149 553 152 421 0 0 0 409 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacillus" 2321 7280 7474 3534 3538 8 0 0 0 0 0 0 0 71 37 0 207 6 7 48 0 0 4 68
"Bacteroides" 3057 1775 2130 669 2689 290 367 566 4773 1517 1302 1867 33 211 0 280 293 184 731 29 33 274 192 0
"Bilophila" 219 62 221 338 301 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bosea" 6 0 10 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Candidatus_Soleaferrea" 9 0 0 0 16 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 20 9 11
"Carnobacterium" 17 32 51 36 26 0 0 0 0 0 0 0 0 0 0 0 50 0 0 0 0 0 0 0
"Catabacter" 6 0 6 0 14 0 0 0 0 0 0 0 0 0 0 38 0 0 0 0 0 0 0 0
"Cellulosimicrobium" 17 22 29 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Citrobacter" 107 0 164 187 39 6515 5909 27 2919 2455 273 4315 0 0 0 424 302 0 0 0 0 4654 206 31
"Clostridioides" 14 1261 42 0 18 0 9 0 466 119 1506 465 0 0 0 0 236 0 0 0 3 0 4 0
"Clostridium_sensu_stricto_1" 1041 81 346 463 120 0 0 8 24 7 0 0 0 12 209 8 173 9 86 0 16 10 9 53
"Desmonostoc_PCC-7422" 15 25 225 29 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dysgonomonas" 110 77 314 45 66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Eggerthella" 24 0 29 49 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Empedobacter" 35 0 0 0 0 0 101 115 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Enterobacter" 586 4196 2047 816 193 6735 4619 206 1472 856 399 5340 0 0 0 38 1716 11 0 0 0 709 238 13
