"D05724" "D05725" "D05726" "D05727" "D05728" "D05729" "D05730" "D05731" "D05732" "D05733" "D05734" "D05735" "D05736" "D05737" "D05738" "D05739" "D05740" "D05742" "D05743" "D05745" "D05746" "D05747" "D05748" "D05750" "D05752" "D05753" "D05754"
"Acinetobacter" 3346 49544 20403 16701 20814 1365 27199 9607 2859 6783 3103 3463 2214 3969 2942 0 2306 10425 10552 2586 8092 39028 1204 12164 89 2209 22407
"Actinomadura" 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacillus" 203 203 0 106 1223 93 1557 1743 176 959 0 216 0 0 74 573 0 162 0 0 0 1791 112 0 0 0 0
"Buttiauxella" 208 0 0 0 0 0 0 0 0 1165 453 988 0 2586 0 0 0 0 267 0 0 322 0 0 216 122 191
"Cetobacterium" 121 0 0 0 0 0 0 0 0 66 0 162 0 1851 344 234 3138 0 193 120 588 205 561 16178 0 0 544
"Citrobacter" 1298 14787 3020 20360 1611 39176 1765 2151 31674 1022 15897 6840 1125 12562 491 11474 784 1350 8063 630 222 995 1288 1147 22640 13836 1284
"Clostridium_sensu_stricto_1" 35568 8638 13218 10683 14583 12129 8329 24039 6919 6813 7051 7442 47893 12567 5239 9377 22246 21965 11302 35959 12559 7063 43058 27819 10552 28063 27535
"Clostridium_sensu_stricto_13" 2002 918 821 1513 1551 1104 192 2914 7654 305 564 498 671 292 177 286 356 1022 602 730 95 236 145 444 1404 3092 2569
"Enterobacter" 1468 10116 2086 20793 2013 16481 1265 2253 2245 4918 37457 5067 760 33192 739 1965 495 985 6148 1230 4389 1440 957 2167 9224 17912 2831
"Enterococcus" 999 731 0 0 0 940 2974 0 1534 0 1021 0 394 1359 907 12056 616 78 194 0 405 0 3249 519 0 0 0
"Epulopiscium" 7741 1854 3967 4008 3056 3464 313 4037 4026 1075 456 809 725 1087 370 1204 627 6377 1860 1722 653 973 695 1567 6559 5543 5638
"Glutamicibacter" 252 323 29336 763 293 187 363 292 0 233 0 0 0 245 241 0 0 216 0 0 411 281 0 0 0 330 268
"Hafnia-Obesumbacterium" 1070 0 0 956 479 386 1026 193 3245 15288 9379 11820 23838 4062 868 12772 460 882 38377 1641 814 3870 7903 2698 217 672 0
"Helicobacter" 49 0 0 0 0 43 0 0 0 0 0 0 0 68 0 264 0 0 186 0 0 69 0 0 0 0 0
"Klebsiella" 311 1453 0 238 83 0 537 245 521 4154 7220 29350 545 5643 371 337 364 438 5593 255 212 498 148 427 8455 969 165
"Lachnospiraceae_NK4A136_group" 105 0 0 494 70 0 88 0 2775 155 91 83 107 132 0 169 75 0 797 79 58 126 94 131 0 0 0
"Lactococcus" 161 666 831 113 0 1115 3778 0 128 326 245 601 2066 178 9976 10720 836 2475 438 529 13431 175 4747 7472 0 1247 652
