"D12481" "D12500" "D12507" "D12519" "D12547" "D12567" "D12571" "D12606" "D12609" "D12635" "D12656" "D12699" "D12722" "D12724" "D12726" "D12728" "D12730" "D12732" "D12734" "D12736" "D12738" "D12740"
"Escherichia-Shigella" 1214 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 16 25 0
"Romboutsia" 1188 0 0 47 0 0 31 0 0 0 0 68 0 30 0 0 0 0 0 0 29 0
"Cetobacterium" 0 0 4754 827 405 29 52 342 925 5328 4584 36 72 1028 2866 106 29 1485 2226 6 142 30
"Clostridium_sensu_stricto_1" 0 0 0 0 6 22 272 0 846 121 17 14 0 79 281 0 27 1749 184 19 120 167
"Paeniclostridium" 0 0 0 120 63 239 18 0 198 90 85 0 0 0 14 15 15 44 248 0 0 0
"Peptoclostridium" 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tyzzerella_3" 0 0 0 0 0 128 324 14 5 0 12 0 0 0 0 0 0 0 0 0 0 16
"Actinobacillus" 0 243 0 640 2125 924 2306 16 1599 1233 15 241 306 242 99 471 236 18 105 60 324 427
"Erysipelatoclostridium" 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Phocoenobacter" 0 981 0 1513 0 242 21 2192 0 0 1144 12 387 37 0 64 0 0 73 0 0 137
"Fusobacterium" 0 0 40 0 7 16 0 0 292 49 19 0 67 0 12 29 0 0 0 0 0 107
"Candidatus_Arthromitus" 0 0 0 16 45 16 0 0 2 3 5 0 0 0 0 0 0 0 0 0 0 0
"Lactobacillus" 0 0 0 3 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0
"Paraclostridium" 0 0 0 10 0 0 0 0 16 0 0 0 0 1442 106 0 70 132 585 25 485 72
"Ureaplasma" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 63 0 0 0 0 0 100
"Angelakisella" 0 0 0 0 62 22 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0
"Photobacterium" 0 0 0 0 39 0 0 0 0 0 0 124 0 41 177 31 507 12 269 1573 685 0
"Bacteroides" 0 0 0 0 0 7 0 0 0 203 0 0 52 0 31 0 0 0 0 0 0 0
"Helicobacter" 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0
"Ilumatobacter" 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruegeria" 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sedimentitalea" 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Thalassobius" 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clostridium_sensu_stricto_13" 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0
"Psychrobacter" 0 0 0 0 0 0 0 0 0 33 0 0 3 42 0 14 148 0 10 0 0 43
"Tenacibaculum" 0 0 0 0 0 0 0 0 0 6 0 0 0 4 0 10 0 0 9 0 0 65
"Terrisporobacter" 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0
"Vibrio" 0 0 0 0 0 0 0 0 0 0 0 953 0 0 0 622 0 0 0 0 383 0
"Campylobacter" 0 0 0 0 0 0 0 0 0 0 0 0 170 29 30 0 57 0 0 225 0 16
"Morganella" 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0
"Arcobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 76
